,Tackles,Tackles,Tackles,Tackles,Tackles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Blocks,Blocks,Blocks,Advanced_Defending,Advanced_Defending,Advanced_Defending,Advanced_Defending,Tackles,Tackles,Tackles,Tackles,Tackles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Blocks_Opp,Blocks_Opp,Blocks_Opp,Advanced_Defending,Advanced_Defending,Advanced_Defending,Advanced_Defending
,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Tkl_Opp,TklW_Opp,Def_3rd_Opp,Mid_3rd_Opp,Att_3rd_Opp,Tkl_Opp,Att_Opp,Tkl%_Opp,Past_Opp,Blocks_Opp,Sh_Opp,Pass_Opp,Int_Opp,Tkl+Int_Opp,Clr_Opp,Err_Opp
Arsenal,540,311,261,195,84,244,500,48.8,256,386,123,263,296,836,658,20,607.0,338.0,313.0,212.0,82.0,271.0,590.0,45.9,319.0,428.0,164.0,264.0,364.0,971.0,737.0,18.0
Aston Villa,634,382,300,259,75,300,649,46.2,349,453,140,313,340,974,693,13,598.0,343.0,278.0,246.0,74.0,254.0,587.0,43.3,333.0,356.0,127.0,229.0,339.0,937.0,743.0,6.0
Brentford,607,342,299,228,80,291,616,47.2,325,383,113,270,393,1000,863,7,505.0,285.0,216.0,225.0,64.0,214.0,476.0,45.0,262.0,423.0,132.0,291.0,381.0,886.0,830.0,12.0
Brighton,668,403,306,257,105,243,563,43.2,320,480,150,330,358,1026,723,12,591.0,358.0,301.0,224.0,66.0,242.0,559.0,43.3,317.0,481.0,140.0,341.0,389.0,980.0,752.0,8.0
Burnley,590,324,273,235,82,250,534,46.8,284,509,211,298,410,1000,887,18,512.0,306.0,249.0,202.0,61.0,221.0,479.0,46.1,258.0,369.0,104.0,265.0,281.0,793.0,853.0,9.0
Chelsea,621,348,267,269,85,257,567,45.3,310,408,96,312,347,968,641,15,643.0,356.0,337.0,237.0,69.0,260.0,624.0,41.7,364.0,487.0,169.0,318.0,376.0,1019.0,793.0,12.0
Crystal Palace,636,373,322,236,78,273,575,47.5,302,452,135,317,333,969,761,5,776.0,440.0,354.0,310.0,112.0,305.0,688.0,44.3,383.0,386.0,110.0,276.0,378.0,1154.0,712.0,16.0
Everton,705,402,369,252,84,336,735,45.7,399,496,140,356,365,1070,815,15,620.0,336.0,298.0,240.0,82.0,295.0,632.0,46.7,337.0,443.0,146.0,297.0,333.0,953.0,653.0,6.0
Leeds United,786,436,395,298,93,408,886,46.0,478,473,143,330,395,1181,622,15,614.0,351.0,282.0,248.0,84.0,316.0,655.0,48.2,339.0,459.0,138.0,321.0,398.0,1012.0,736.0,20.0
Leicester City,690,384,336,270,84,306,720,42.5,414,469,146,323,367,1057,777,15,618.0,370.0,262.0,264.0,92.0,250.0,547.0,45.7,297.0,455.0,117.0,338.0,400.0,1018.0,630.0,13.0
Liverpool,554,320,207,240,107,233,576,40.5,343,359,74,285,340,894,523,8,657.0,350.0,407.0,211.0,39.0,291.0,634.0,45.9,343.0,542.0,212.0,330.0,487.0,1144.0,999.0,18.0
Manchester City,498,284,183,214,101,227,509,44.6,282,267,55,212,279,777,403,7,632.0,359.0,392.0,194.0,46.0,316.0,741.0,42.6,425.0,509.0,209.0,300.0,374.0,1006.0,909.0,24.0
Manchester Utd,585,358,320,197,68,265,608,43.6,343,404,133,271,340,925,704,20,596.0,347.0,273.0,228.0,95.0,263.0,631.0,41.7,368.0,468.0,143.0,325.0,430.0,1026.0,686.0,17.0
Newcastle Utd,658,382,333,266,59,304,641,47.4,337,421,162,259,360,1018,776,14,632.0,364.0,298.0,260.0,74.0,273.0,632.0,43.2,359.0,373.0,120.0,253.0,268.0,900.0,665.0,12.0
Norwich City,614,368,322,242,50,297,714,41.6,417,450,180,270,381,995,860,14,596.0,363.0,273.0,234.0,89.0,283.0,581.0,48.7,298.0,382.0,115.0,267.0,330.0,926.0,586.0,13.0
Southampton,602,340,285,243,74,248,582,42.6,334,430,132,298,446,1048,795,13,639.0,356.0,308.0,249.0,82.0,274.0,624.0,43.9,350.0,438.0,137.0,301.0,349.0,988.0,820.0,18.0
Tottenham,598,349,286,244,68,262,584,44.9,322,470,161,309,355,953,793,15,632.0,369.0,278.0,267.0,87.0,291.0,666.0,43.7,375.0,419.0,135.0,284.0,368.0,1000.0,676.0,10.0
Watford,614,356,341,213,60,278,626,44.4,348,440,148,292,444,1058,899,19,745.0,438.0,356.0,287.0,102.0,356.0,751.0,47.4,395.0,377.0,93.0,284.0,347.0,1092.0,608.0,15.0
West Ham,534,301,273,199,62,240,557,43.1,317,420,175,245,374,908,782,5,532.0,323.0,283.0,184.0,65.0,239.0,545.0,43.9,306.0,408.0,133.0,275.0,337.0,869.0,777.0,9.0
Wolves,673,377,377,242,54,273,671,40.7,398,437,135,302,389,1062,820,20,,,,,,,,,,,,,,,,
